From Bus Number,To Bus Number,A_5,B_5,C_5,D_5
2135,2220,(0.9925592755123673+0.00013667097155488256j),(0.6202992913292955+33.812836475778276j),(-2.0045223588650305e-08+0.00043847521783336476j),(0.9925592755123673+0.00013667097155488256j)
2135,2220,(0.9925592755123673+0.00013667097155488256j),(0.6202992913292955+33.812836475778276j),(-2.0045223588650305e-08+0.00043847521783336476j),(0.9925592755123673+0.00013667097155488256j)
2135,2400,(0.6726261697125829+0.0077052111713216j),(4.476262704840172+203.80317087908466j),(-8.153831236523137e-06+0.0026868910088312364j),(0.6726261697125829+0.0077052111713216j)
2135,2400,(0.6726261697125829+0.0077052111713216j),(4.476262704840172+203.80317087908466j),(-8.153831236523137e-06+0.0026868910088312364j),(0.6726261697125829+0.0077052111713216j)
2135,2970,(0.9601578026934673+0.000989383079751222j),(1.8982056142042196+76.9634142820342j),(-3.409975809551031e-07+0.0010147331202851708j),(0.9601578026934673+0.000989383079751222j)
2135,2970,(0.9601578026934673+0.000989383079751222j),(1.8982056142042196+76.9634142820342j),(-3.409975809551031e-07+0.0010147331202851708j),(0.9601578026934673+0.000989383079751222j)
2220,2225,(0.9950618354382181+0.00019394772688257833j),(1.4023556561260122+35.735361108415375j),(-1.7864455932614605e-08+0.00027569208515440535j),(0.9950618354382181+0.00019394772688257833j)
2220,2225,(0.9950618354382181+0.00019394772688257833j),(1.4023556561260122+35.735361108415375j),(-1.7864455932614605e-08+0.00027569208515440535j),(0.9950618354382181+0.00019394772688257833j)
2220,2230,(0.9860525577872118+0.00034513063528891053j),(1.1316166564913157+45.83843650964048j),(-6.997695168912255e-08+0.0006043049309402765j),(0.9860525577872118+0.00034513063528891053j)
2220,2230,(0.9860525577872118+0.00034513063528891053j),(1.1316166564913157+45.83843650964048j),(-6.997695168912255e-08+0.0006043049309402765j),(0.9860525577872118+0.00034513063528891053j)
2220,2570,(0.9242915081928736+0.0018579646362414323j),(2.5458523381677822+105.12517137181115j),(-8.897538616538863e-07+0.0013858374053718633j),(0.9242915081928736+0.0018579646362414323j)
2220,2570,(0.9242915081928736+0.0018579646362414323j),(2.5458523381677822+105.12517137181115j),(-8.897538616538863e-07+0.0013858374053718633j),(0.9242915081928736+0.0018579646362414323j)
2220,2691,(0.821078998470436+0.00680463333316322j),(7.558839362343614+205.57820476942743j),(-3.923770098126768e-06+0.00158502173186686j),(0.821078998470436+0.00680463333316322j)
2220,2691,(0.821078998470436+0.00680463333316322j),(7.558839362343614+205.57820476942743j),(-3.923770098126768e-06+0.00158502173186686j),(0.821078998470436+0.00680463333316322j)
2222,2300,(0.9994840438067669+8.598529289037486e-06j),(0.024191675835298455+1.4517504801479095j),(-2.03725929303464e-09+0.0007106222552911859j),(0.9994840438067669+8.598529289037486e-06j)
2230,2240,(0.9958535713011613+0.00010308953756448486j),(0.6226339764317251+25.060720429955353j),(-1.136957103345383e-08+0.00033022466765171603j),(0.9958535713011613+0.00010308953756448486j)
2240,2250,(0.9998515336177616+3.6358226109750807e-06j),(0.11614850353494949+4.742963825748604j),(-7.587305966896816e-11+6.260025113522576e-05j),(0.9998515336177616+3.6358226109750807e-06j)
2245,2280,(0.9300253482165948+0.002713967551841518j),(5.070731264447673+132.34890907338405j),(-9.543557743467213e-07+0.0010204494994207089j),(0.9300253482165948+0.002713967551841518j)
2245,2280,(0.9300253482165948+0.002713967551841518j),(5.070731264447673+132.34890907338405j),(-9.543557743467213e-07+0.0010204494994207089j),(0.9300253482165948+0.002713967551841518j)
2245,2705,(0.9537134670093269+0.0011481468849890855j),(2.0380364977918677+82.81812244397936j),(-4.2712943900019944e-07+0.0010919236987303506j),(0.9537134670093269+0.0011481468849890855j)
2245,2705,(0.9537134670093269+0.0011481468849890855j),(2.0380364977918677+82.81812244397936j),(-4.2712943900019944e-07+0.0010919236987303506j),(0.9537134670093269+0.0011481468849890855j)
2280,2281,(0.9861533533437694+0.0003453644829000893j),(1.1364887513376665+45.67137210639687j),(-6.977284515797508e-08+0.0006021628517168858j),(0.9861533533437694+0.0003453644829000893j)
2280,2281,(0.9861533533437694+0.0003453644829000893j),(1.1364887513376665+45.67137210639687j),(-6.977284515797508e-08+0.0006021628517168858j),(0.9861533533437694+0.0003453644829000893j)
2300,2570,(0.9977460867224685+7.903421068039819e-05j),(0.6475854316904337+18.47492719618061j),(-6.427556175488496e-09+0.00024372212492107526j),(0.9977460867224685+7.903421068039819e-05j)
2300,2570,(0.9977460867224685+7.903421068039819e-05j),(0.6475854316904337+18.47492719618061j),(-6.427556175488496e-09+0.00024372212492107526j),(0.9977460867224685+7.903421068039819e-05j)
2305,2306,(0.9999552737044721+7.173029626515003e-07j),(0.008227754661177707+0.5130324976384647j),(-4.168970018944497e-11+0.00017435657818461162j),(0.9999552737044721+7.173029626515003e-07j)
2305,2306,(0.9999552737044721+7.173029626515003e-07j),(0.008227754661177707+0.5130324976384647j),(-4.168970018944497e-11+0.00017435657818461162j),(0.9999552737044721+7.173029626515003e-07j)
2305,2350,(0.967537661159357+0.0005183708088503752j),(0.2178191027145327+13.716273773049181j),(-8.169955374577755e-07+0.004656582833366937j),(0.967537661159357+0.0005183708088503752j)
2306,2580,(0.9950078245681855+0.00012470034351036585j),(0.6859572401878188+27.484129183240764j),(-1.5097745951111742e-08+0.00036237037657091463j),(0.9950078245681855+0.00012470034351036585j)
2306,2580,(0.9950078245681855+0.00012470034351036585j),(0.6859572401878188+27.484129183240764j),(-1.5097745951111742e-08+0.00036237037657091463j),(0.9950078245681855+0.00012470034351036585j)
2307,2580,(0.9950050619947817+0.00012393608215837854j),(0.681614478912917+27.493757176320592j),(-1.500825969314865e-08+0.00036244343292769293j),(0.9950050619947817+0.00012393608215837854j)
2307,2580,(0.9950050619947817+0.00012393608215837854j),(0.681614478912917+27.493757176320592j),(-1.500825969314865e-08+0.00036244343292769293j),(0.9950050619947817+0.00012393608215837854j)
2560,2570,(0.9979965629578876+7.866496166776256e-05j),(0.8942040431268798+22.781190706016908j),(-4.611694844376027e-09+0.0001757090944138303j),(0.9979965629578876+7.866496166776256e-05j)
2561,2570,(0.9979965629578876+7.866496166776256e-05j),(0.8942040431268798+22.781190706016908j),(-4.611694844376027e-09+0.0001757090944138303j),(0.9979965629578876+7.866496166776256e-05j)
2561,2970,(0.9943208923019258+0.00014186640638845017j),(0.7314479025366318+29.308715379286344j),(-1.8322703539673883e-08+0.0003864369253072406j),(0.9943208923019258+0.00014186640638845017j)
2561,2970,(0.9943208923019258+0.00014186640638845017j),(0.7314479025366318+29.308715379286344j),(-1.8322703539673883e-08+0.0003864369253072406j),(0.9943208923019258+0.00014186640638845017j)
2570,2580,(0.9944579374269827+0.00021766103455705065j),(1.4852117232059705+37.85143275040213j),(-2.124216656379995e-08+0.00029202135064663114j),(0.9944579374269827+0.00021766103455705065j)
2570,2580,(0.9944579374269827+0.00021766103455705065j),(1.4852117232059705+37.85143275040213j),(-2.124216656379995e-08+0.00029202135064663114j),(0.9944579374269827+0.00021766103455705065j)
2580,2830,(0.9955467023892521+0.00011124965303849788j),(0.6480820593179448+25.961903505399377j),(-1.2720033493229568e-08+0.00034230030524908276j),(0.9955467023892521+0.00011124965303849788j)
2580,2830,(0.9955467023892521+0.00011124965303849788j),(0.6480820593179448+25.961903505399377j),(-1.2720033493229568e-08+0.00034230030524908276j),(0.9955467023892521+0.00011124965303849788j)
2691,2705,(0.964091643422948+0.0014008938314450318j),(3.708392213707924+95.64035587353922j),(-3.5022546909748614e-07+0.0007374289458460361j),(0.964091643422948+0.0014008938314450318j)
2705,2810,(0.8564945263536948+0.003976466911441143j),(3.946547558574448+146.23381655774472j),(-2.5886808322629976e-06+0.0018218954311298723j),(0.8564945263536948+0.003976466911441143j)
2705,2810,(0.8564945263536948+0.003976466911441143j),(3.946547558574448+146.23381655774472j),(-2.5886808322629976e-06+0.0018218954311298723j),(0.8564945263536948+0.003976466911441143j)
2810,2815,(0.9202728486947711+0.0015118802225825268j),(1.9722646974860452+105.47309255512171j),(-7.59826891323065e-07+0.0014515424498172647j),(0.9202728486947711+0.0015118802225825268j)
2810,2815,(0.9202728486947711+0.0015118802225825268j),(1.9722646974860452+105.47309255512171j),(-7.59826891323065e-07+0.0014515424498172647j),(0.9202728486947711+0.0015118802225825268j)
2815,2830,(0.9729287736876558+0.000765552691363926j),(1.843062462830533+65.47402440395086j),(-2.1082868289622867e-07+0.0008157402774206571j),(0.9729287736876558+0.000765552691363926j)
2815,2830,(0.9729287736876558+0.000765552691363926j),(1.843062462830533+65.47402440395086j),(-2.1082868289622867e-07+0.0008157402774206571j),(0.9729287736876558+0.000765552691363926j)
